                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.074,                 2.8738,                 1.1984,                0.97933,                  0.658,                0.87121,                0.64994,                      0,                    inf,                      0,                 0.0721,                 0.0031,                 0.0031
                      1,                0.95481,                  1.301,                 1.0459,                      1,                0.70674,                0.96083,                0.67917,                      0,                    inf,                      0,               0.043238,              0.0062376,              0.0062376
                      2,                0.98598,                 1.0728,                 1.0951,                0.89728,                0.92361,                0.95682,                0.69641,                      0,                    inf,                      0,               0.014312,              0.0093119,              0.0093119
                      3,                 1.0532,                 1.0225,                 1.1381,                0.96475,                0.95042,                0.98419,                0.68318,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      4,                 1.0484,                0.96145,                 1.1264,                0.68709,                0.93056,                0.86153,                0.64045,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      5,                0.99182,                0.89946,                 1.1138,                0.99697,                0.97222,                0.99466,                0.68754,                      0,                    inf,                      0,               0.009604,               0.009604,               0.009604
                      6,                 0.9638,                0.84352,                 1.0852,                0.94302,                0.95833,                 0.9733,                0.70167,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                      7,                 1.0045,                0.81137,                 1.0955,                0.91033,                0.91649,                0.96223,                0.70114,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      8,                0.99584,                0.75283,                 1.1087,                0.99305,                 0.9925,                0.99493,                0.73683,                      0,                    inf,                      0,               0.009307,               0.009307,               0.009307
                      9,                0.96048,                0.73351,                 1.0857,                0.97989,                0.95833,                0.99331,                0.72601,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                     10,                0.96586,                0.70395,                 1.0939,                0.97907,                0.97449,                0.99285,                0.73546,                      0,                    inf,                      0,               0.009109,               0.009109,               0.009109
                     11,                0.99022,                0.69735,                 1.0978,                      1,                 0.9718,                0.99446,                0.73394,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                     12,                0.94784,                 0.6737,                 1.0732,                0.97937,                0.82639,                0.93146,                0.69938,                      0,                    inf,                      0,               0.008911,               0.008911,               0.008911
                     13,                0.97293,                0.65235,                  1.098,                0.97916,                0.97863,                0.98589,                0.75874,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                     14,                0.95486,                0.64462,                 1.0837,                0.92778,                 0.9375,                0.97915,                0.69987,                      0,                    inf,                      0,               0.008713,               0.008713,               0.008713
                     15,                0.95209,                0.63111,                 1.0789,                0.98249,                0.94444,                0.99015,                0.74149,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                     16,                0.92565,                0.62307,                 1.0839,                0.96528,                0.96543,                 0.9915,                0.75376,                      0,                    inf,                      0,               0.008515,               0.008515,               0.008515
                     17,                0.96373,                0.62065,                 1.1091,                0.97792,                0.97917,                0.99164,                0.73573,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
